gene	score	num_trans_edges	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G003002	0.1420464646628538	62470	1.3850858267971424	39.16	1.0	39.16	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G166297	0.1108518628369149	62470	1.082571045586903	17.563333333333333	3.0	52.69	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G167957	0.10255667343841829	62470	1.0021270822375434	17.563333333333333	3.0	52.69	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G136250	0.09705013896911457	62470	0.9487265586628876	5.8999999999999995	12.0	70.8	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G151050	0.09619683734070056	62470	0.9404515257944969	5.8999999999999995	12.0	70.8	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G067022	0.09036153581715123	62470	0.8838627296450153	5.8999999999999995	12.0	70.8	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G361388	0.08925240866474009	62470	0.8731067866867374	5.8999999999999995	12.0	70.8	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G060170	0.08722661185410371	62470	0.8534612889699984	5.8999999999999995	12.0	70.8	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G132212	0.08294039289070167	62470	0.8118949756967011	5.8999999999999995	12.0	70.8	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G338465	0.08248093502764872	62470	0.8074393075111495	5.8999999999999995	12.0	70.8	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G555108	0.08230261271617596	62470	0.8057099975702472	5.8999999999999995	12.0	70.8	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G017237	0.0804951881057195	62470	0.7881822001764177	5.8999999999999995	12.0	70.8	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G419891	0.07540867286854368	62470	0.7388548821781705	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G040736	0.07457995208436649	62470	0.7308182260891264	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G061005	0.07353165181369609	62470	0.7206521618196092	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G010871	0.07263127499556338	62470	0.7119206095573296	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G120574	0.0719607991914701	62470	0.7054185601862945	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G061681	0.06710141873192939	62470	0.6582939190468488	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G337819	0.06384865074796423	62470	0.6267496665993413	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G009265	0.06328702986994275	62470	0.6213032557752578	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM5G813470	0.06318873508698795	62470	0.6203500259528162	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G138659	0.060498217778910075	62470	0.5942582918977671	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G140754	0.05995720468794129	62470	0.5890117284776113	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G025685	0.05956960397326617	62470	0.585252906805479	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
GRMZM2G032022	0.05956712251129959	62470	0.5852288424199776	2.7151428571428573	35.0	95.03	-0.0007802781787147967	0.10311761197632036	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.98	100	density	strongest
