gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G176638	15	537	8.200910109183003	6.799089890816998	5.593747694108986	0.37	1.0	0.37	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G121151	27	1570	7.121841473775259	19.87815852622474	4.856026407230644	0.455	2.0	0.91	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G083725	27	1590	6.868616524396597	20.131383475603403	4.682905412517698	0.41	3.0	1.23	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G095964	18	902	6.579554783022473	11.420445216977527	4.485284063109063	0.316	5.0	1.58	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G419953	22	1241	6.287391891054201	15.7126081089458	4.285542566073067	0.316	5.0	1.58	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G153648	20	1128	5.718112855043625	14.281887144956375	3.896346504526999	0.30777777777777776	9.0	2.77	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G120652	27	1682	5.703781757254767	21.296218242745233	3.8865488368381587	0.30777777777777776	9.0	2.77	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G446213	26	1605	5.6786978123626035	20.321302187637396	3.8693998256458912	0.30777777777777776	9.0	2.77	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G121468	19	1064	5.528432693055333	13.471567306944667	3.766668846771318	0.30777777777777776	9.0	2.77	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G054233	11	450	5.30243863898017	5.69756136101983	3.6121646577618907	0.32636363636363636	11.0	3.59	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G162451	21	1246	5.224085653709535	15.775914346290465	3.558597476557731	0.32636363636363636	11.0	3.59	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G160585	15	783	5.086243231825495	9.913756768174505	3.464359459139778	0.31071428571428567	14.0	4.35	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
AC209257.4_FG008	16	878	4.883424722276864	11.116575277723136	3.3256995750903955	0.31071428571428567	14.0	4.35	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G420733	13	648	4.795511640131444	8.204488359868556	3.265596491777948	0.31071428571428567	14.0	4.35	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G110908	7	244	3.9106556175803586	3.0893443824196414	2.660651539956811	0.5123529411764707	17.0	8.71	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
AC199067.2_FG004	8	323	3.910417067534655	4.089582932465345	2.6604884516777836	0.5123529411764707	17.0	8.71	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G002128	10	482	3.897278719974315	6.102721280025685	2.651506225384081	0.5123529411764707	17.0	8.71	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G163717	4	56	3.2909701417397543	0.7090298582602456	2.2369943677471817	0.692	20.0	13.84	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G337819	6	232	3.062590587207554	2.937409412792446	2.0808592959474774	0.692	20.0	13.84	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G132212	9	472	3.023891194663644	5.976108805336356	2.054401881903453	0.692	20.0	13.84	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G419891	10	562	2.8843789224596783	7.115621077540322	1.9590222465323064	0.7813636363636364	22.0	17.19	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G087901	6	267	2.6194469257949002	3.3805530742050998	1.7778975551998257	0.7813636363636364	22.0	17.19	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G368411	7	355	2.5052571485288	4.4947428514712	1.6998300192999736	0.8107407407407408	27.0	21.89	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G420772	6	277	2.492834451105571	3.507165548894429	1.691337057843354	0.8107407407407408	27.0	21.89	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
GRMZM2G445169	12	751	2.4914031508313492	9.50859684916865	1.6903585281691882	0.8107407407407408	27.0	21.89	0.018907232949332147	1.4627050277670706	ZmPAN	ZmIonome	Al27	20000	5	342	307	0.62	100	locality	strongest
