gene	score	num_trans_edges	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G067122	0.3341702586443987	29646	3.481279061799695	0.06733333333333334	3.0	0.202	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G445169	0.3328186257180473	29646	3.4672006859864073	0.06733333333333334	3.0	0.202	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM5G847982	0.32687878847306917	29646	3.4053323640668602	0.06733333333333334	3.0	0.202	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
AC199067.2_FG004	0.30653465761220533	29646	3.1934314002252253	0.0886	5.0	0.443	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G020500	0.3048889642234493	29646	3.176290141271959	0.0886	5.0	0.443	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G166297	0.28368049602419687	29646	2.9553863885502545	0.095	10.0	0.95	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G034471	0.28223035059684565	29646	2.9402819234901427	0.095	10.0	0.95	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G063533	0.2792059925112705	29646	2.908780730457195	0.095	10.0	0.95	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G083538	0.2675831310435637	29646	2.7877190068353337	0.095	10.0	0.95	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G406974	0.2675826571812499	29646	2.7877140711670716	0.095	10.0	0.95	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G127537	0.26156352829511964	29646	2.7250198611670933	0.14453846153846153	13.0	1.879	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G434098	0.26128119111738424	29646	2.722079085741511	0.14453846153846153	13.0	1.879	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G111679	0.2515003299417575	29646	2.6202033199744137	0.14453846153846153	13.0	1.879	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G327059	0.23897648339807498	29646	2.489757090948419	0.1585909090909091	22.0	3.489	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G007899	0.23709094613318596	29646	2.4701176594818275	0.1585909090909091	22.0	3.489	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G121151	0.23445322272586233	29646	2.4426435866800866	0.1585909090909091	22.0	3.489	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM5G809195	0.22742061248555043	29646	2.369393129413741	0.1585909090909091	22.0	3.489	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G433847	0.2227178363455171	29646	2.3204098229446735	0.1585909090909091	22.0	3.489	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G412430	0.22166795298694766	29646	2.3094744186689313	0.1585909090909091	22.0	3.489	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G096683	0.22051106351004404	29646	2.2974244570907882	0.1585909090909091	22.0	3.489	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G025685	0.21865460238311718	29646	2.278087877670377	0.1585909090909091	22.0	3.489	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G109865	0.218377740551479	29646	2.2752041325069032	0.1585909090909091	22.0	3.489	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G446213	0.21538243976937346	29646	2.2440055953433053	0.21289655172413793	29.0	6.174	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G017145	0.20979982007618161	29646	2.185857989931254	0.21289655172413793	29.0	6.174	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G107076	0.20957648010023924	29646	2.1835317192003867	0.21289655172413793	29.0	6.174	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G124441	0.20684600506585923	29646	2.1550915614228097	0.21289655172413793	29.0	6.174	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G383601	0.20275652519940043	29646	2.1124962433313104	0.21289655172413793	29.0	6.174	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G335242	0.20189644062509302	29646	2.103537750509596	0.21289655172413793	29.0	6.174	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G002128	0.199818230168663	29646	2.081891468257724	0.21289655172413793	29.0	6.174	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G095964	0.19167675764958012	29646	1.9970912924388295	0.28405405405405404	37.0	10.51	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G410766	0.18687589065298255	29646	1.947086288498773	0.28405405405405404	37.0	10.51	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G156950	0.18499245047818394	29646	1.92746869996145	0.28405405405405404	37.0	10.51	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G139250	0.1826073621892301	29646	1.9026260310495546	0.28405405405405404	37.0	10.51	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
AC205122.4_FG010	0.18151873974474492	29646	1.891287127125681	0.28405405405405404	37.0	10.51	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G134703	0.17997998897417272	29646	1.8752597640681834	0.28405405405405404	37.0	10.51	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G136400	0.1730716362776435	29646	1.8033035519810603	0.28405405405405404	37.0	10.51	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G091839	0.17263156634347498	29646	1.798719859325631	0.28405405405405404	37.0	10.51	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
AC199911.5_FG001	0.1640978224667502	29646	1.7098338525936212	0.3176111111111111	54.0	17.151	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G074761	0.16237595648152195	29646	1.6918991929922182	0.3176111111111111	54.0	17.151	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G040736	0.16077175848416922	29646	1.6751901428904126	0.3176111111111111	54.0	17.151	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
GRMZM2G007063	0.15766257676488357	29646	1.64280544149514	0.3176111111111111	54.0	17.151	-5.9447122152480576e-05	0.09600773159327439	ZmRoot	ZmIonome	Al27	20000	1	342	307	0.003	1000	density	strongest
