gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G434098	8	285	4.577000369391781	3.422999630608219	4.345312689696575	1.7142857142857142	1.0	1.7142857142857142	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G154595	13	785	3.5717378595527993	9.4282621404472	3.387289254409121	2.1085714285714285	2.0	4.217142857142857	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G406974	5	179	2.850116021477645	2.149883978522355	2.699577710882107	2.8466666666666662	3.0	8.54	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G038982	4	116	2.6067790977173564	1.3932209022826436	2.4676756222719853	1.822857142857143	6.0	10.937142857142858	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM5G855337	4	127	2.474663322500899	1.525336677499101	2.3417682024789115	1.822857142857143	6.0	10.937142857142858	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G340305	3	51	2.387463223996424	0.612536776003576	2.258665791806059	1.822857142857143	6.0	10.937142857142858	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G110869	4	153	2.162389671989272	1.837610328010728	2.0441688466043733	1.9514285714285715	7.0	13.66	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G061728	4	161	2.066305471831848	1.933694528168152	1.9525998140275922	1.220612244897959	14.0	17.088571428571427	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G144730	10	663	2.037021911953511	7.962978088046489	1.924692340748216	1.220612244897959	14.0	17.088571428571427	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G303768	4	169	1.9702212716744243	2.0297787283255757	1.8610307814508111	1.220612244897959	14.0	17.088571428571427	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM5G847982	3	87	1.9550843232880173	1.0449156767119827	1.8466051452105445	1.220612244897959	14.0	17.088571428571427	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G012156	5	256	1.9253055949624418	3.074694405037558	1.81822577233059	1.220612244897959	14.0	17.088571428571427	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G153615	3	93	1.8830211731699495	1.1169788268300505	1.777928370777959	1.220612244897959	14.0	17.088571428571427	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G127537	2	10	1.8798947498032204	0.12010525019677962	1.7749488636097899	1.220612244897959	14.0	17.088571428571427	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G448692	8	520	1.7545269897674602	6.24547301023254	1.655472357753633	1.0620408163265307	21.0	22.302857142857142	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G156950	5	272	1.7331371946475942	3.266862805352406	1.6350877071770276	1.0620408163265307	21.0	22.302857142857142	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G025685	10	691	1.700727211402528	8.299272788597472	1.6042007267294822	1.0620408163265307	21.0	22.302857142857142	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G152553	2	25	1.699736874508051	0.30026312549194906	1.6032569275283255	1.0620408163265307	21.0	22.302857142857142	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G177104	2	27	1.675715824468695	0.32428417553130495	1.58036466938413	1.0620408163265307	21.0	22.302857142857142	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
AC211401.4_FG003	3	117	1.5947685726976786	1.4052314273023214	1.503221273047616	1.0620408163265307	21.0	22.302857142857142	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM5G809195	2	34	1.5916421493309492	0.4083578506690507	1.5002417658794467	1.0620408163265307	21.0	22.302857142857142	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
GRMZM2G096683	3	126	1.4866738475205767	1.5133261524794233	1.4002061113987372	0.9705418719211822	29.0	28.145714285714284	0.017425123543136304	1.0493088924670761	ZmRoot	ZmIonome	Al27	20000	5	342	307	0.15714285714285714	350	locality	strongest
