gene	score	num_trans_edges	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM5G844894	0.185757682676642	19105	1.9637857297333763	3.0511111111111116	3.0	9.153333333333334	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
AC199067.2_FG004	0.16805226599009565	19105	1.776521193235529	3.0511111111111116	3.0	9.153333333333334	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G344566	0.167004153619592	19105	1.7654356435003926	3.0511111111111116	3.0	9.153333333333334	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G134703	0.16078664849822719	19105	1.6996750779436332	1.5073333333333334	10.0	15.073333333333334	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G412430	0.15991912220115176	19105	1.6904995294209615	1.5073333333333334	10.0	15.073333333333334	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
AC207628.4_FG010	0.1491130989395351	19105	1.5762076732451482	1.5073333333333334	10.0	15.073333333333334	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G350205	0.14815613662177418	19105	1.5660861885010149	1.5073333333333334	10.0	15.073333333333334	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G303999	0.14785386886304389	19105	1.5628891989729525	1.5073333333333334	10.0	15.073333333333334	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
AC206980.3_FG007	0.14580515207037562	19105	1.5412205758963828	1.5073333333333334	10.0	15.073333333333334	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G446213	0.14549334474584838	19105	1.5379226894281928	1.5073333333333334	10.0	15.073333333333334	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G031991	0.14056937711687817	19105	1.4858434567225223	1.5435555555555556	15.0	23.153333333333332	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G166297	0.13991336439742158	19105	1.4789050197446973	1.5435555555555556	15.0	23.153333333333332	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM5G882228	0.1357821609126404	19105	1.4352106001525455	1.5435555555555556	15.0	23.153333333333332	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
AC209257.4_FG008	0.13379299636289943	19105	1.4141718421261256	1.5435555555555556	15.0	23.153333333333332	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G141978	0.12826414594026916	19105	1.3556949573349015	1.5435555555555556	15.0	23.153333333333332	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM5G826911	0.11803817510192004	19105	1.2475381303487818	1.0840860215053765	31.0	33.60666666666667	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G067122	0.11712129551153153	19105	1.237840587808091	1.0840860215053765	31.0	33.60666666666667	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G002128	0.11692570926880791	19105	1.2357719345966236	1.0840860215053765	31.0	33.60666666666667	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G145654	0.11656766170587564	19105	1.2319849798977465	1.0840860215053765	31.0	33.60666666666667	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G410728	0.11636886255306758	19105	1.2298823447626437	1.0840860215053765	31.0	33.60666666666667	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
GRMZM2G101457	0.11617951465703046	19105	1.2278796725513097	1.0840860215053765	31.0	33.60666666666667	8.641101852627894e-05	0.09454762240446893	ZmSAM	ZmIonome	Al27	10000	5	342	312	0.43333333333333335	150	density	strongest
