gene	score	num_trans_edges	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G041878	0.21930072649087606	106953	2.255458723102783	15.19	1.0	15.19	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G111818	0.21857840186207195	106953	2.248073911526347	5.19	4.0	20.76	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
EF517601.1_FG012	0.21708825823184952	106953	2.2328391687359237	5.19	4.0	20.76	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G035520	0.20848948058218708	106953	2.144928068659554	5.19	4.0	20.76	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G171139	0.1878336477941892	106953	1.9337495666247075	3.50875	8.0	28.07	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
AC198361.3_FG004	0.17806969480154683	106953	1.8339260936092323	3.50875	8.0	28.07	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G088088	0.17537916474975646	106953	1.8064189912886242	3.50875	8.0	28.07	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G012416	0.17430843768321652	106953	1.7954722267441585	3.50875	8.0	28.07	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G331368	0.1686405429665561	106953	1.737525518507294	2.238235294117647	17.0	38.05	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G317652	0.16322593220965148	106953	1.6821683029217143	2.238235294117647	17.0	38.05	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G145300	0.16158755210232303	106953	1.6654180387043185	2.238235294117647	17.0	38.05	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G060977	0.15864446632909526	106953	1.6353288890036373	2.238235294117647	17.0	38.05	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G352159	0.15365333899097655	106953	1.5843012298650756	2.238235294117647	17.0	38.05	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G135236	0.15301788251830867	106953	1.5778045300038952	2.238235294117647	17.0	38.05	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G146697	0.15189000387088175	106953	1.56627346632395	2.238235294117647	17.0	38.05	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G069886	0.1469799180882791	106953	1.5160743496349767	2.238235294117647	17.0	38.05	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G701688	0.14572161033703115	106953	1.503209821308538	2.238235294117647	17.0	38.05	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM5G832989	0.144731175167579	106953	1.4930839349502274	1.981153846153846	26.0	51.51	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G051894	0.14210312820060902	106953	1.466215639323608	1.981153846153846	26.0	51.51	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G023372	0.1369656709685958	106953	1.4136919510434125	1.981153846153846	26.0	51.51	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G078541	0.13694139687751505	106953	1.4134437806478977	1.981153846153846	26.0	51.51	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G055970	0.1350642643220432	106953	1.3942525892176625	1.981153846153846	26.0	51.51	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G172451	0.1333935772553147	106953	1.3771720291772211	1.981153846153846	26.0	51.51	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM5G852801	0.13134761935770672	106953	1.3562548224745088	1.981153846153846	26.0	51.51	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G043489	0.12186372226231414	106953	1.259294549673435	1.981153846153846	26.0	51.51	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G456512	0.12133343636013826	106953	1.2538730794465471	1.981153846153846	26.0	51.51	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G072573	0.1175572375433975	106953	1.2152664535268973	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM5G814985	0.11739529684177648	106953	1.2136108245751238	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G072584	0.11529909153196177	106953	1.192179904707232	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G471600	0.11527397271476529	106953	1.1919230981072324	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G152908	0.11477822575611092	106953	1.1868547427815739	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G128485	0.11414160101306817	106953	1.180346098904857	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G028718	0.11410687063010551	106953	1.179991026789178	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM5G852533	0.113285585939167	106953	1.1715944797916964	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G047139	0.11043532814004396	106953	1.1424543730426873	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G050193	0.10976820917949817	106953	1.13563396622525	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G022651	0.10718342345440256	106953	1.1092079594353463	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G105844	0.09798143662556748	106953	1.0151298453160784	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G007055	0.0971190753333405	106953	1.0063133445351877	1.7717948717948717	39.0	69.1	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G005310	0.09291535190335898	106953	0.9633358463135665	1.287887323943662	71.0	91.44	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G333045	0.09185274260031734	106953	0.9524720751372713	1.287887323943662	71.0	91.44	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G401062	0.09089037611206323	106953	0.9426331538270578	1.287887323943662	71.0	91.44	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G404702	0.0904265942717165	106953	0.9378915994525328	1.287887323943662	71.0	91.44	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G085111	0.08991141858790473	106953	0.9326246111733015	1.287887323943662	71.0	91.44	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM5G877500	0.0890617016945317	106953	0.923937382605084	1.287887323943662	71.0	91.44	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G325350	0.08902056138319066	106953	0.9235167774708627	1.287887323943662	71.0	91.44	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
GRMZM2G123362	0.08895447739014108	106953	0.9228411562647886	1.287887323943662	71.0	91.44	-0.0013106415969358228	0.0978121948444802	ZmPAN	ZmWallace	100 Kernel weight	500000	1	918	237	0.74	100	density	strongest
