gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G159047	47	1617	14.87776034586507	32.12223965413493	8.35721383127404	0.024	1.0	0.024	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM5G870342	57	2130	14.686845724608908	42.31315427539109	8.249847163379355	0.011999999999999999	3.0	0.036	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G178887	32	876	14.597970354346199	17.4020296456538	8.199865384612343	0.011999999999999999	3.0	0.036	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G121151	41	1570	9.81143088621408	31.18856911378592	5.5080087313171004	0.14775	4.0	0.591	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G112594	29	1007	8.99561203975642	20.00438796024358	5.049208087482091	0.20379999999999998	5.0	1.019	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G032107	19	511	8.848816040035283	10.151183959964717	4.96665287381315	0.162625	8.0	1.301	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM5G852801	44	1775	8.739038103840755	35.260961896159245	4.904915898719204	0.162625	8.0	1.301	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G081445	14	276	8.51716874178031	5.482831258219691	4.780140886959436	0.162625	8.0	1.301	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G434557	28	1015	7.836689394590632	20.163310605409368	4.397452543876087	0.18333333333333335	12.0	2.2	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G471600	35	1370	7.784497015358781	27.21550298464122	4.368100565432798	0.18333333333333335	12.0	2.2	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G041328	23	772	7.663964741501445	15.336035258498555	4.3003155601111365	0.18333333333333335	12.0	2.2	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G100090	24	825	7.611102217278098	16.3888977827219	4.2705867051653055	0.18333333333333335	12.0	2.2	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G407146	19	594	7.1999935964402315	11.800006403559768	4.039387216767209	0.22069230769230772	13.0	2.869	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G153523	13	296	7.119862128865839	5.880137871134161	3.9943228387202825	0.2174705882352941	17.0	3.697	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G378121	28	1055	7.042076168761689	20.95792383123831	3.950577528432258	0.2174705882352941	17.0	3.697	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G148937	39	1616	6.897625676510799	32.1023743234892	3.8693413825222214	0.2174705882352941	17.0	3.697	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G309970	25	912	6.882818451100153	18.117181548899847	3.8610140870922214	0.2174705882352941	17.0	3.697	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G054807	13	329	6.464306217556963	6.535693782443037	3.625650950979125	0.2364	20.0	4.728	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G041809	13	331	6.424575556265516	6.575424443734484	3.6033072002069337	0.2364	20.0	4.728	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
AC194022.3_FG013	19	634	6.40538037061129	12.59461962938871	3.5925122013233812	0.2364	20.0	4.728	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G427729	29	1146	6.23433108000085	22.76566891999915	3.4963174088147912	0.24359999999999998	25.0	6.09	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G165991	20	697	6.153864539930709	13.846135460069291	3.4510645925165933	0.24359999999999998	25.0	6.09	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G414791	13	347	6.1067302659339395	6.8932697340660605	3.424557194029403	0.24359999999999998	25.0	6.09	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G386460	8	98	6.053197596719095	1.9468024032809046	3.394451462581028	0.24359999999999998	25.0	6.09	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G070468	12	306	5.9212088224086035	6.0787911775913965	3.3202235443420856	0.24359999999999998	25.0	6.09	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G046459	19	678	5.531305822199455	13.468694177800545	3.100949684335171	0.2769642857142857	28.0	7.755	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G007055	15	479	5.484506620698436	9.515493379301564	3.074630724099253	0.2769642857142857	28.0	7.755	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G386995	22	835	5.4124489108208635	16.587551089179136	3.0341068702698695	0.2769642857142857	28.0	7.755	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
GRMZM2G368886	24	948	5.1676665478541075	18.832333452145892	2.896446032675538	0.3006363636363636	33.0	9.921	0.017335368166450732	1.7781554089340774	ZmPAN	ZmWallace	100 Kernel weight	10000	5	918	695	0.025	1000	locality	strongest
