gene	score	num_trans_edges	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G364643	0.3278796725743676	132862	3.8701664763852888	0.029	1.0	0.029	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G346466	0.3160617785173383	132862	3.7307524189907877	0.012	7.0	0.084	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM5G852801	0.3118487134657221	132862	3.681051474805777	0.012	7.0	0.084	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G045596	0.30644096470436816	132862	3.6172570125646795	0.012	7.0	0.084	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G041809	0.3004677854044345	132862	3.546792244668636	0.012	7.0	0.084	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G157927	0.29818914051381473	132862	3.519911386875399	0.012	7.0	0.084	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G006714	0.2979907502985563	132862	3.517571005016916	0.012	7.0	0.084	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G100090	0.2964388609137635	132862	3.4992635811461854	0.0162	15.0	0.243	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G046459	0.29534755125867873	132862	3.486389552477883	0.0162	15.0	0.243	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G368886	0.28325341202242565	132862	3.343716669011206	0.0162	15.0	0.243	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G348238	0.282695392424382	132862	3.3371337891940835	0.0162	15.0	0.243	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G116426	0.28228114636846846	132862	3.3322469859162838	0.0162	15.0	0.243	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G070468	0.2790695036279494	132862	3.2943596818672995	0.0162	15.0	0.243	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G151955	0.2780175716541617	132862	3.281950186244725	0.0162	15.0	0.243	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G178887	0.2768851947469695	132862	3.268591692898138	0.0162	15.0	0.243	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G022627	0.2671639216176542	132862	3.153911181847875	0.03015	20.0	0.603	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM5G857701	0.2621750605337828	132862	3.09505827945057	0.03015	20.0	0.603	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G159047	0.25756622158337006	132862	3.040688445463721	0.03015	20.0	0.603	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G471600	0.25625200790592734	132862	3.0251848489539297	0.03015	20.0	0.603	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G055320	0.25613903132170096	132862	3.0238520798563595	0.03015	20.0	0.603	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G079956	0.24978150625044063	132862	2.948853238193493	0.05225925925925926	27.0	1.411	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G414727	0.2454411856275675	132862	2.89765107768099	0.05225925925925926	27.0	1.411	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G072584	0.24409104294948	132862	2.881723631732894	0.05225925925925926	27.0	1.411	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM5G829396	0.24130511464781662	132862	2.848858421884948	0.05225925925925926	27.0	1.411	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G149040	0.23530594888120637	132862	2.778087095245084	0.05225925925925926	27.0	1.411	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G114036	0.23377469975880893	132862	2.760023161687631	0.05225925925925926	27.0	1.411	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G167497	0.2334224494218601	132862	2.7558677133094656	0.05225925925925926	27.0	1.411	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G453301	0.22852907329481276	132862	2.6981412337068424	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G121151	0.22680102923197798	132862	2.677755737526753	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G165633	0.2253523918662166	132862	2.6606663634065013	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G427729	0.2224204796934342	132862	2.626079002074657	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G108416	0.22222461676116562	132862	2.623768434223145	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G155532	0.22122910310561175	132862	2.612024497677205	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G112954	0.2208467491515867	132862	2.6075139211028824	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM5G832135	0.22073246221989393	132862	2.6061656940179576	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G032107	0.2199244834611518	132862	2.5966340806441	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G108032	0.21944853554579238	132862	2.5910193890866613	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G137541	0.21906075537118844	132862	2.5864448001406273	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G115491	0.2169339352596283	132862	2.5613549982123	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G153920	0.21674813912793675	132862	2.559163187011224	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G098015	0.21574040746634757	132862	2.5472751163423655	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G325575	0.21497562161197428	132862	2.5382530436717547	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G158721	0.21468868037296948	132862	2.534868037665573	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G085550	0.21401033585368953	132862	2.526865701438173	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G338037	0.21357138983494012	132862	2.521687516123961	0.06768888888888888	45.0	3.046	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM5G872264	0.21164394566899797	132862	2.4989497245784764	0.11132142857142857	56.0	6.234	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G101613	0.20964952731010272	132862	2.4754218477660856	0.11132142857142857	56.0	6.234	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G414791	0.20876638974268696	132862	2.465003596348634	0.11132142857142857	56.0	6.234	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G127031	0.20489043411019653	132862	2.4192794852338326	0.11132142857142857	56.0	6.234	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G031004	0.20411391775852783	132862	2.4101190295133046	0.11132142857142857	56.0	6.234	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM5G876898	0.2024834308669799	132862	2.390884401754559	0.11132142857142857	56.0	6.234	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G084885	0.20163511563130898	132862	2.380876944555862	0.11132142857142857	56.0	6.234	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G072506	0.20113186305105146	132862	2.374940143652979	0.11132142857142857	56.0	6.234	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G108991	0.20011358461943018	132862	2.36292765420058	0.11132142857142857	56.0	6.234	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G007055	0.19792592813983806	132862	2.3371201740748044	0.11132142857142857	56.0	6.234	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G148937	0.19643369816094491	132862	2.3195165439424574	0.11132142857142857	56.0	6.234	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G381739	0.1904712426964081	132862	2.2491782836455085	0.1733970588235294	68.0	11.791	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM5G832989	0.18704043619913382	132862	2.208705535149686	0.1733970588235294	68.0	11.791	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G011110	0.18569575255506138	132862	2.1928424886688576	0.1733970588235294	68.0	11.791	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
GRMZM2G380668	0.1837130278023412	132862	2.169452559706953	0.1733970588235294	68.0	11.791	-0.00018779964304869144	0.08476831015389015	ZmRoot	ZmWallace	100 Kernel weight	10000	5	918	695	0.0	1000	density	strongest
