gene	local	global	score	fitted	zscore	fdr	num_real	num_random	bs_mean	bs_std	COB	Ontology	Term	WindowSize	FlankLimit	TermLoci	TermCollapsedLoci	TermPValue	NumBootstraps	Method	SNP2Gene
GRMZM2G167932	9	179	5.578403582541492	3.421596417458508	4.364443880382496	3.1155555555555554	1.0	3.1155555555555554	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G104626	9	203	5.119642051709066	3.880357948290934	4.005159117414498	1.9166666666666667	2.0	3.8333333333333335	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G118490	10	314	3.9978699716090977	6.002130028390902	3.1266294482604047	2.4077777777777776	4.0	9.63111111111111	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G086484	7	158	3.9798199220198645	3.0201800779801355	3.112493328833693	2.4077777777777776	4.0	9.63111111111111	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G177110	5	80	3.4707948972252476	1.5292051027747522	2.7138440893338864	2.4781481481481484	6.0	14.86888888888889	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G170253	5	90	3.279644259378404	1.7203557406215961	2.5641421047638873	2.4781481481481484	6.0	14.86888888888889	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G148884	4	43	3.1780522572585705	0.8219477427414293	2.484579072669984	1.673939393939394	11.0	18.413333333333334	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G115998	8	255	3.1256587349054774	4.874341265094523	2.4435464380776	1.673939393939394	11.0	18.413333333333334	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G158520	13	519	3.079281895748796	9.920718104251204	2.4072258432941203	1.673939393939394	11.0	18.413333333333334	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM5G899080	4	51	3.0251317469810957	0.9748682530189046	2.3648174850139845	1.673939393939394	11.0	18.413333333333334	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G051894	7	212	2.9476064776469064	4.052393522353094	2.3041026121556962	1.673939393939394	11.0	18.413333333333334	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G407361	5	112	2.859112856115347	2.140887143884653	2.234797738709889	1.2771604938271603	18.0	22.988888888888887	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G105335	8	271	2.8198177143505267	5.180182285649473	2.2040232627656007	1.2771604938271603	18.0	22.988888888888887	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G004957	5	115	2.801767664761294	2.198232335238706	2.1898871433388893	1.2771604938271603	18.0	22.988888888888887	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G154316	9	326	2.7684892061928847	6.231510793807115	2.1638247072035046	1.2771604938271603	18.0	22.988888888888887	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM5G842019	5	121	2.6870772820531874	2.3129227179468126	2.1000659525968897	1.2771604938271603	18.0	22.988888888888887	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G151285	4	69	2.681060598856776	1.3189394011432238	2.0953539127879854	1.2771604938271603	18.0	22.988888888888887	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G114131	4	73	2.6046003437180385	1.3953996562819613	2.0354731189599855	1.2771604938271603	18.0	22.988888888888887	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G148937	5	134	2.43858145285229	2.56141854714771	1.9054533726558902	1.5038596491228071	19.0	28.573333333333334	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G032423	3	41	2.2162823848279394	0.7837176151720605	1.731357110011083	1.4038222222222223	25.0	35.095555555555556	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G109032	3	50	2.04424681076578	0.9557531892342201	1.5966253238980839	1.4038222222222223	25.0	35.095555555555556	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G053766	7	260	2.0300834159820553	4.969916584017945	1.5855330862196995	1.4038222222222223	25.0	35.095555555555556	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G167422	4	104	2.012033366392822	1.987966633607178	1.5713969667929877	1.4038222222222223	25.0	35.095555555555556	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G144273	15	681	1.9826415626299223	13.017358437370078	1.5483784124059314	1.4038222222222223	25.0	35.095555555555556	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G025685	3	55	1.9486714918423578	1.0513285081576422	1.5217743316130838	1.4038222222222223	25.0	35.095555555555556	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G023257	9	373	1.870081208312718	7.129918791687282	1.460225379724508	1.163216374269006	38.0	44.202222222222225	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G121074	5	165	1.8460144755270735	3.1539855244729265	1.4413772204888922	1.163216374269006	38.0	44.202222222222225	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
GRMZM2G394450	2	12	1.7706192345837872	0.22938076541621283	1.3823305056911808	1.163216374269006	38.0	44.202222222222225	0.005556743014302361	1.27687444088267	ZmSAM	ZmWallace	100 Kernel weight	50000	1	918	545	0.11333333333333333	450	locality	strongest
