gene_name	description	gene_id	source	location	mgdb_id
a1	tRNA-Phe	GRMZM2G472869	GenBank	7:144336382-144339061	a1
abp1	auxin binding protein1	GRMZM2G116204	EntrezGene	3:133888888-133893638	abp1
abp4	auxin binding protein homolog4	GRMZM2G064371	EntrezGene	10:26662881-26665955	abp4
ACC1	acetyl-coenzyme A carboxylase	GRMZM5G858094	EntrezGene	2:82394515-82407013	acc1
acco20	ACC oxidase20	GRMZM2G126732	EntrezGene	4:177628395-177630803	acco20
aco2	aconitase2	GRMZM5G858454	EntrezGene	10:96330046-96338713	aco2
acs7	1-aminocyclopropane-1-carboxylate synthase7	GRMZM5G894619	EntrezGene	10:136083487-136086305	acs7
ADF3	actin depolymerizing factor	GRMZM2G060702	EntrezGene	1:293162401-293166106	adf3
adh1	alcohol dehydrogenase1	GRMZM2G442658	EntrezGene	1:273983252-273987146	adh1
adh2	alcohol dehydrogenase2	GRMZM2G098346	EntrezGene	4:13395375-13398777	adh2
ae1	amylose extender1	GRMZM2G032628	EntrezGene	5:168451664-168468750	ae1
ae1	ae1 protein	GRMZM2G039942	EntrezGene	4:222074644-222075476	ae1
AGP2	ADP-glucose pyrophosphorylase	GRMZM2G027955	EntrezGene	6:166587013-166592620	agp2
aic1	auxin import carrier1	GRMZM2G129413	EntrezGene	1:119652810-119656777	aic1
akin1	AKINbetagamma-1 protein kinase	GRMZM2G047774	EntrezGene	1:299461477-299469668	akin1
ald1	aldolase1	GRMZM2G057823	EntrezGene	3:165722970-165725581	ald1
aldh2	aldehyde dehydrogenase2	GRMZM2G125268	EntrezGene	4:165966482-165969746	aldh2
als1	acetolactate synthase1	GRMZM2G143008	EntrezGene	5:163984090-163986394	als1
amyb5	beta amylase5	GRMZM2G058310	EntrezGene	7:155357370-155360570	amyb5
ane3	androgenic embryo3	GRMZM2G372553	EntrezGene	10:80739035-80739695	ane3
anx2	annexin2	GRMZM2G061950	EntrezGene	5:208194750-208197747	anx2
aoc1	allene oxide cyclase1	GRMZM2G077316	EntrezGene	1:76732179-76733770	aoc1
aprl1	adenosine 5'-phosphosulfate reductase-like1	AC189750.4_FG004	EntrezGene	7:152351854-152354543	aprl1
aprl6	adenosine 5'-phosphosulfate reductase6	GRMZM2G141848	EntrezGene	10:24443942-24448936	aprl6
APRL9	adenosine 5'-phosphosulfate reductase 9	GRMZM2G025248	EntrezGene	5:3552885-3555608	aprl9
apt1	aberrant pollen transmission1	GRMZM2G448687	EntrezGene	9:128763467-128787236	apt1
apx2	ascorbate peroxidase2	GRMZM2G140667	EntrezGene	2:218589206-218592127	apx2
